PassengerId,Survived
431,1
821,0
629,0
626,0
665,0
582,0
250,0
780,1
728,0
259,1
232,0
371,0
552,0
87,0
815,0
243,0
46,0
134,0
434,0
381,1
883,0
698,0
652,0
60,0
538,0
277,0
463,0
783,0
733,0
92,0
31,1
123,1
620,0
691,1
453,1
413,0
548,0
402,0
104,0
569,1
135,0
93,0
66,1
600,1
502,0
274,1
299,1
25,1
393,1
497,0
475,0
121,0
210,0
448,1
191,0
148,0
456,0
613,0
566,0
168,0
398,0
442,0
298,1
793,0
647,1
4,0
554,1
797,0
853,1
531,0
721,0
282,0
519,0
311,1
344,0
464,0
183,1
705,0
56,1
828,0
516,1
255,1
306,1
217,0
627,1
781,1
57,0
510,1
535,1
454,0
95,0
732,0
848,0
837,0
573,1
349,0
708,1
719,0
806,0
369,1
436,0
164,0
730,1
202,0
423,0
271,1
395,0
26,0
542,0
709,1
317,0
814,0
340,1
889,0
760,0
392,0
714,0
265,0
523,1
129,0
410,0
73,0
188,0
736,0
201,0
739,0
424,0
144,0
855,0
96,0
641,1
701,1
39,1
885,0
617,0
610,0
98,1
745,0
769,0
856,1
177,0
598,0
749,0
63,0
663,0
437,1
845,0
467,0
669,1
405,0
633,0
394,1
49,0
411,0
316,1
341,1
336,0
770,0
852,1
289,1
725,0
247,1
179,0
376,1
485,0
293,0
879,1
187,1
189,0
809,1
470,0
618,1
361,0
861,0
638,0
771,0
521,0
711,0
484,1
